SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523828,MENON BEAR. ,B ,Q,58.00,59.05,57.00,58.65,59.00,58.85,238,7249,419246.00,
523832,MUKAT PIPES ,X ,Q,2.66,2.66,2.66,2.66,2.66,2.61,1,140,372.00,
523836,GUJ.RAFFIA  ,T ,Q,44.95,44.95,44.95,44.95,44.95,42.85,14,2000,89900.00,
523838,SIMPLX INFRA,B ,Q,37.75,38.30,36.85,37.25,37.20,38.05,245,23055,861006.00,
523840,INN.TECH.PAC,X ,Q,20.60,21.30,19.05,21.30,21.30,20.60,47,52581,1102056.00,
523842,SUPER TANNER,X ,Q,3.14,3.14,3.05,3.07,3.05,3.08,10,15569,47945.00,
523850,AXTEL INDUS.,X ,Q,274.70,315.00,265.00,298.70,298.70,268.05,1476,128160,37099013.00,
523862,PIFL        ,XT,Q,2.00,2.05,1.91,1.91,1.91,2.01,9,476,911.00,
523874,PRECI CONTNR,X ,Q,0.28,0.29,0.27,0.29,0.29,0.28,27,32157,9073.00,
524000,MAGMA FIN   ,A ,Q,98.05,98.05,98.05,98.05,98.05,93.40,39,10327,1012562.00,
524013,HIND.FLUROCA,T ,Q,7.95,8.35,7.68,8.34,8.00,8.08,16,1807,14638.00,
524019,KINGFA      ,B ,Q,639.95,639.95,586.95,598.35,598.90,621.90,554,11118,6723952.00,
524037,RAMA PHOSPH ,X ,Q,108.80,114.50,105.15,113.10,112.75,104.45,567,93284,10271618.00,
524051,POLYPLEX    ,A ,Q,931.00,938.00,910.35,917.70,917.70,918.00,3727,58859,54510667.00,
524075,ALBERT DAVID,B ,Q,424.30,425.00,418.55,420.45,419.45,419.50,265,5938,2503393.00,
524080,HAR.LEATHER ,XT,Q,28.10,28.15,28.10,28.15,28.15,28.10,2,54,1519.00,
524091,ACRYCIL LTD.,B ,Q,264.00,266.25,243.15,266.25,266.25,253.60,1086,111100,29156933.00,
524109,KABRA EXTR  ,B ,Q,127.00,134.65,125.00,132.55,133.95,126.80,550,38433,5012269.00,
524129,VINYL CHEM  ,B ,Q,121.60,121.65,119.20,119.65,119.75,120.30,139,6957,839005.00,
524136,PEE CEE COSM,X ,Q,129.50,144.85,116.20,131.30,133.70,126.80,291,7833,1031138.00,
524164,IOL CHEM PH ,A ,Q,697.55,697.55,668.75,670.35,673.15,674.00,986,21299,14369357.00,
524174,KESAR PETRO ,XT,Q,5.95,6.00,5.75,5.79,5.97,5.79,94,53405,313158.00,
524200,VINATI ORG. ,A ,Q,1448.00,1498.00,1401.35,1478.90,1478.90,1438.80,2115,27686,40303400.00,
524202,LACTOSE(I)  ,X ,Q,23.25,24.65,22.45,22.85,22.75,23.70,74,25206,580062.00,
524208,AARTI INDUST,A ,Q,1220.00,1236.00,1206.05,1212.35,1213.75,1209.10,483,5208,6365238.00,
524212,WANBURY LTD ,Z ,Q,62.80,62.90,62.80,62.90,62.90,59.95,51,16570,1042243.00,
524218,RESONANCE   ,X ,Q,149.80,149.80,139.00,144.45,146.10,144.15,158,16498,2380899.00,
524226,GUJ AMB EXP ,A ,Q,133.10,133.10,129.75,130.05,130.50,131.80,214,12123,1586966.00,
524230,RASHTR.CHEM.,A ,Q,53.70,54.45,53.45,53.65,53.65,53.90,874,149245,8042039.00,
524280,KOPRAN LTD. ,B ,Q,127.50,129.50,125.25,125.70,125.45,126.95,414,18765,2387536.00,
524288,AIMCO PESTI.,X ,Q,106.55,106.55,99.05,101.20,101.20,102.15,187,10814,1094479.00,
524314,GUJ.TERC LAB,X ,Q,7.48,7.48,6.84,7.20,7.20,7.15,9,1414,10029.00,
524324,SEYAIND     ,B ,Q,60.50,64.50,60.45,60.70,61.65,60.50,89,3166,192907.00,
524330,JAYANT AGRO ,B ,Q,140.60,146.50,138.30,141.65,141.00,140.85,111,5294,744863.00,
524332,BCLIL       ,X ,Q,91.50,92.00,87.60,89.15,89.15,90.55,199,24775,2224214.00,
524336,SH.HARI CHEM,X ,Q,35.35,38.40,35.35,38.40,38.40,34.95,50,5266,198726.00,
524342,INDOBORAXC  ,X ,Q,487.90,578.70,483.00,569.20,569.20,483.30,1933,70712,38779173.00,
524348,AARTI DRUGS ,A ,Q,667.50,668.35,650.95,656.60,656.60,662.65,4508,51462,33978512.00,
524370,BODAL CHEM  ,A ,Q,72.95,72.95,70.85,71.85,71.85,71.65,622,45551,3253674.00,
524372,ORCHIDPHAR  ,T ,Q,543.60,543.60,543.60,543.60,543.60,517.75,19,73,39682.00,
524394,VIMTA LABS  ,B ,Q,174.80,175.00,169.25,171.15,172.00,176.00,338,6206,1067899.00,
524396,BIOFIL CHEM ,B ,Q,68.80,76.00,68.80,70.10,70.10,72.40,669,33616,2384486.00,
524400,ISHITA DRUGS,X ,Q,26.20,26.50,26.20,26.25,26.25,26.20,6,1050,27610.00,
524404,MARKSANS    ,A ,Q,58.00,58.25,56.60,56.90,56.65,57.10,1053,144178,8276208.00,
524408,UNIV.STARCH ,XT,Q,55.50,55.50,55.50,55.50,55.50,52.90,5,424,23532.00,
524412,AAREY DRUGS ,X ,Q,30.30,30.95,28.40,28.60,28.60,29.70,218,40839,1184401.00,
524434,ASIAN PETRO ,XT,Q,3.32,3.32,3.32,3.32,3.32,3.17,1,190,630.00,
524440,CAMEX LTD   ,X ,Q,19.20,20.90,19.15,19.20,19.15,19.40,14,1821,36333.00,
